Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
12/9/22,08 19 53 61 69,19,04,Mega Millions,8,19,53,61,69,,,,,,,,,,,,,,,
12/6/22,15 16 19 28 47,13,03,Mega Millions,15,16,19,28,47,,,,,,,,,,,,,,,
12/2/22,01 21 36 46 52,16,03,Mega Millions,1,21,36,46,52,,,,,,,,,,,,,,,
11/29/22,20 23 37 46 52,06,04,Mega Millions,20,23,37,46,52,,,,,,,,,,,,,,,
11/25/22,29 31 46 54 67,18,02,Mega Millions,29,31,46,54,67,,,,,,,,,,,,,,,
11/22/22,13 23 24 25 43,02,03,Mega Millions,13,23,24,25,43,,,,,,,,,,,,,,,
11/18/22,02 14 16 38 66,09,04,Mega Millions,2,14,16,38,66,,,,,,,,,,,,,,,
11/15/22,06 19 28 46 61,18,02,Mega Millions,6,19,28,46,61,,,,,,,,,,,,,,,
11/11/22,01 05 17 37 70,22,03,Mega Millions,1,5,17,37,70,,,,,,,,,,,,,,,
11/8/22,05 13 29 38 59,23,04,Mega Millions,5,13,29,38,59,,,,,,,,,,,,,,,
11/4/22,02 20 47 55 59,19,02,Mega Millions,2,20,47,55,59,,,,,,,,,,,,,,,
11/1/22,05 09 15 16 17,25,03,Mega Millions,5,9,15,16,17,,,,,,,,,,,,,,,
10/28/22,04 18 31 53 69,07,02,Mega Millions,4,18,31,53,69,,,,,,,,,,,,,,,
10/25/22,21 30 35 45 66,21,03,Mega Millions,21,30,35,45,66,,,,,,,,,,,,,,,
10/21/22,34 36 43 45 68,22,02,Mega Millions,34,36,43,45,68,,,,,,,,,,,,,,,
10/18/22,01 15 20 44 67,23,03,Mega Millions,1,15,20,44,67,,,,,,,,,,,,,,,
10/14/22,09 22 26 41 44,19,02,Mega Millions,9,22,26,41,44,,,,,,,,,,,,,,,
10/11/22,03 07 11 13 38,01,03,Mega Millions,3,7,11,13,38,,,,,,,,,,,,,,,
10/7/22,06 11 29 36 55,21,02,Mega Millions,6,11,29,36,55,,,,,,,,,,,,,,,
10/4/22,15 18 25 33 38,25,02,Mega Millions,15,18,25,33,38,,,,,,,,,,,,,,,
9/30/22,16 26 37 40 51,06,04,Mega Millions,16,26,37,40,51,,,,,,,,,,,,,,,
9/27/22,08 14 24 43 51,09,03,Mega Millions,8,14,24,43,51,,,,,,,,,,,,,,,
9/23/22,05 50 53 58 64,22,04,Mega Millions,5,50,53,58,64,,,,,,,,,,,,,,,
9/20/22,09 21 28 30 52,10,05,Mega Millions,9,21,28,30,52,,,,,,,,,,,,,,,
9/16/22,15 30 35 38 66,12,04,Mega Millions,15,30,35,38,66,,,,,,,,,,,,,,,
9/13/22,14 25 38 59 64,21,04,Mega Millions,14,25,38,59,64,,,,,,,,,,,,,,,
9/9/22,16 21 54 55 69,22,02,Mega Millions,16,21,54,55,69,,,,,,,,,,,,,,,
9/6/22,06 17 46 59 68,02,04,Mega Millions,6,17,46,59,68,,,,,,,,,,,,,,,
9/2/22,39 40 52 60 67,20,02,Mega Millions,39,40,52,60,67,,,,,,,,,,,,,,,
8/30/22,02 38 55 57 65,17,03,Mega Millions,2,38,55,57,65,,,,,,,,,,,,,,,
8/26/22,06 27 30 38 64,23,02,Mega Millions,6,27,30,38,64,,,,,,,,,,,,,,,
8/23/22,03 05 47 48 67,07,02,Mega Millions,3,5,47,48,67,,,,,,,,,,,,,,,
8/19/22,12 18 24 46 65,03,04,Mega Millions,12,18,24,46,65,,,,,,,,,,,,,,,
8/16/22,33 35 41 45 51,01,02,Mega Millions,33,35,41,45,51,,,,,,,,,,,,,,,
8/12/22,23 24 50 54 64,03,03,Mega Millions,23,24,50,54,64,,,,,,,,,,,,,,,
8/9/22,01 08 10 25 32,13,03,Mega Millions,1,8,10,25,32,,,,,,,,,,,,,,,
8/5/22,02 05 29 64 69,18,03,Mega Millions,2,5,29,64,69,,,,,,,,,,,,,,,
8/2/22,10 14 25 37 63,14,03,Mega Millions,10,14,25,37,63,,,,,,,,,,,,,,,
7/29/22,13 36 45 57 67,14,02,Mega Millions,13,36,45,57,67,,,,,,,,,,,,,,,
7/26/22,07 29 60 63 66,15,03,Mega Millions,7,29,60,63,66,,,,,,,,,,,,,,,
7/22/22,14 40 60 64 66,16,03,Mega Millions,14,40,60,64,66,,,,,,,,,,,,,,,
7/19/22,02 31 32 37 70,25,03,Mega Millions,2,31,32,37,70,,,,,,,,,,,,,,,
7/15/22,08 20 26 53 64,15,05,Mega Millions,8,20,26,53,64,,,,,,,,,,,,,,,
7/12/22,04 07 10 45 64,12,02,Mega Millions,4,7,10,45,64,,,,,,,,,,,,,,,
7/8/22,20 36 61 62 69,20,03,Mega Millions,20,36,61,62,69,,,,,,,,,,,,,,,
7/5/22,27 31 50 51 61,21,04,Mega Millions,27,31,50,51,61,,,,,,,,,,,,,,,
7/1/22,01 27 29 38 62,12,03,Mega Millions,1,27,29,38,62,,,,,,,,,,,,,,,
6/28/22,07 12 21 43 55,11,02,Mega Millions,7,12,21,43,55,,,,,,,,,,,,,,,
6/24/22,01 07 11 25 56,14,02,Mega Millions,1,7,11,25,56,,,,,,,,,,,,,,,
6/21/22,08 13 18 32 42,20,03,Mega Millions,8,13,18,32,42,,,,,,,,,,,,,,,
6/17/22,20 36 53 56 69,16,02,Mega Millions,20,36,53,56,69,,,,,,,,,,,,,,,
6/14/22,30 37 38 42 58,22,02,Mega Millions,30,37,38,42,58,,,,,,,,,,,,,,,
6/10/22,03 12 14 18 32,04,05,Mega Millions,3,12,14,18,32,,,,,,,,,,,,,,,
6/7/22,04 34 40 41 53,03,04,Mega Millions,4,34,40,41,53,,,,,,,,,,,,,,,
6/3/22,11 16 22 48 59,11,04,Mega Millions,11,16,22,48,59,,,,,,,,,,,,,,,
5/31/22,06 15 41 63 64,24,04,Mega Millions,6,15,41,63,64,,,,,,,,,,,,,,,
5/27/22,03 14 40 53 54,08,03,Mega Millions,3,14,40,53,54,,,,,,,,,,,,,,,
5/24/22,03 05 06 63 68,25,03,Mega Millions,3,5,6,63,68,,,,,,,,,,,,,,,
5/20/22,33 40 59 60 69,22,03,Mega Millions,33,40,59,60,69,,,,,,,,,,,,,,,
5/17/22,07 21 24 41 65,24,04,Mega Millions,7,21,24,41,65,,,,,,,,,,,,,,,
5/13/22,11 41 43 44 65,13,03,Mega Millions,11,41,43,44,65,,,,,,,,,,,,,,,
5/10/22,15 19 20 61 70,06,03,Mega Millions,15,19,20,61,70,,,,,,,,,,,,,,,
5/6/22,16 21 33 52 70,10,02,Mega Millions,16,21,33,52,70,,,,,,,,,,,,,,,
5/3/22,15 19 27 35 57,17,02,Mega Millions,15,19,27,35,57,,,,,,,,,,,,,,,
4/29/22,09 11 34 49 66,15,02,Mega Millions,9,11,34,49,66,,,,,,,,,,,,,,,
4/26/22,05 07 19 46 69,02,04,Mega Millions,5,7,19,46,69,,,,,,,,,,,,,,,
4/22/22,07 28 29 58 59,10,03,Mega Millions,7,28,29,58,59,,,,,,,,,,,,,,,
4/19/22,02 09 33 47 53,24,03,Mega Millions,2,9,33,47,53,,,,,,,,,,,,,,,
4/15/22,04 17 20 46 64,23,04,Mega Millions,4,17,20,46,64,,,,,,,,,,,,,,,
4/12/22,02 08 14 20 31,17,02,Mega Millions,2,8,14,20,31,,,,,,,,,,,,,,,
4/8/22,08 11 29 32 40,02,03,Mega Millions,8,11,29,32,40,,,,,,,,,,,,,,,
4/5/22,22 43 60 63 64,18,02,Mega Millions,22,43,60,63,64,,,,,,,,,,,,,,,
4/1/22,26 42 47 48 63,21,05,Mega Millions,26,42,47,48,63,,,,,,,,,,,,,,,
3/29/22,07 22 36 45 47,12,02,Mega Millions,7,22,36,45,47,,,,,,,,,,,,,,,
3/25/22,03 13 42 51 58,17,02,Mega Millions,3,13,42,51,58,,,,,,,,,,,,,,,
3/22/22,08 15 21 27 61,08,03,Mega Millions,8,15,21,27,61,,,,,,,,,,,,,,,
